primaryIdentifier,secondaryIdentifier,nameIdentifierType,addressType,streetName,buildingNumber,postcode,townName,countrySubDivision,country,nationalIdentifier,nationalIdentifierType,countryOfIssue,registrationAuthority,dateOfBirth,placeOfBirth,countryOfResidence
Retha,Huffman,LEGL,GEOG,Cinder Landing,264,91045,Bevier,Maine,SB,1000001091,RAID,SB,RA000628,2001-09-12,Bevier,SB
Alfonso,Gorter,LEGL,GEOG,Silver Elk,306,50716,Susanville,West Virginia,VU,1000001105,RAID,VU,RA000628,1952-11-04,Susanville,VU
Ahmed,Gibson,LEGL,GEOG,Heather Sixth,143,40532,Rosamond,Arkansas,PH,1000001113,RAID,PH,RA000628,1972-09-02,Rosamond,PH
Wilfredo,de Graaf,LEGL,GEOG,Bear Heights,106,11127,Davidson,Delaware,VC,1000001121,RAID,VC,RA000628,1979-04-05,Davidson,VC
Edmundo,Benitez,LEGL,GEOG,W Center,443,44772,Morland,California,GH,1000001148,RAID,GH,RA000628,1981-09-28,Morland,GH
Genaro,Howell,LEGL,GEOG,Main Key,93,26192,Seldovia Village,Wyoming,RE,1000001156,RAID,RE,RA000628,1984-12-25,Seldovia Village,RE
Lily,Hartman,LEGL,GEOG,Deer Bend,301,30573,La Palma,Missouri,ST,1000001164,RAID,ST,RA000628,2003-10-14,La Palma,ST
Cortez,Terweele,LEGL,GEOG,Fred Street,987,88530,Alapaha,South Carolina,CL,1000001172,RAID,CL,RA000628,1991-06-30,Alapaha,CL
Edgardo,de Ridder,LEGL,GEOG,Foggy Drive,599,68150,Cumberland village,South Dakota,EH,1000001180,RAID,EH,RA000628,1968-11-21,Cumberland village,EH
Chery,Koeleman,LEGL,GEOG,Green Squaw,367,85165,Canyon Lake,Mississippi,VG,1000001199,RAID,VG,RA000628,1991-04-15,Canyon Lake,VG
Tomas,Lorentz,LEGL,GEOG,Seventh Lawn,343,41821,Flanagan village,West Virginia,CH,1000001202,RAID,CH,RA000628,1968-02-05,Flanagan village,CH
Felipe,Yang,LEGL,GEOG,NE Track,111,45385,Savonburg,Illinois,SY,1000001210,RAID,SY,RA000628,1958-02-06,Savonburg,SY
Jodi,Trevino,LEGL,GEOG,Grand Shadow,308,43670,Lohrville village,Missouri,PK,1000001229,RAID,PK,RA000628,1979-06-16,Lohrville village,PK
Moises,Cruz,LEGL,GEOG,Dusty Falls,33,40571,McComb,Oklahoma,DE,1000001237,RAID,DE,RA000628,2003-07-04,McComb,DE
Justin,Riddle,LEGL,GEOG,Tawny Loaf,787,48908,Keyes,Alabama,DJ,1000001245,RAID,DJ,RA000628,1988-11-15,Keyes,DJ
Mike,Brouwer,LEGL,GEOG,Round Cliff,908,51068,Forrestville,Mississippi,ID,1000001253,RAID,ID,RA000628,1963-08-31,Forrestville,ID
Myron,Schouten,LEGL,GEOG,Honey Pine,880,12006,Hansboro,South Carolina,TR,1000001261,RAID,TR,RA000628,1969-04-13,Hansboro,TR
Martin,Eskes,LEGL,GEOG,Bright Tunnel,853,19514,Lockhart,Arkansas,RU,1000001288,RAID,RU,RA000628,1958-09-14,Lockhart,RU
Arthur,Cash,LEGL,GEOG,SE Gateway,363,10347,Cantril,Virginia,BZ,1000001296,RAID,BZ,RA000628,1943-12-22,Cantril,BZ
Nellie,Copeland,LEGL,GEOG,Crystal Blossom,249,20214,Hope Mills,Michigan,PL,1000001318,RAID,PL,RA000628,1963-05-22,Hope Mills,PL
Fiona,Barnett,LEGL,GEOG,Summit Viaduct,181,90812,Great River,Missouri,RO,1000001326,RAID,RO,RA000628,2000-12-13,Great River,RO
Nick,Hendricks,LEGL,GEOG,Main Street,76,54909,Meigs,Minnesota,UY,1000001334,RAID,UY,RA000628,1993-06-29,Meigs,UY
Camie,Oneil,LEGL,GEOG,Horse Street,979,77804,Akins,Alaska,KW,1000001342,RAID,KW,RA000628,1976-06-20,Akins,KW
Herta,Muusse,LEGL,GEOG,Round Neck,319,57522,Whitten,Indiana,WS,1000001350,RAID,WS,RA000628,1992-12-09,Whitten,WS
Sarina,Esparza,LEGL,GEOG,High Bayoo,374,27863,Palisade village,Louisiana,ME,1000001369,RAID,ME,RA000628,1952-11-27,Palisade village,ME
Herbert,Westerveld,LEGL,GEOG,Thunder Apple,772,57316,Lakeview village,Idaho,LS,1000001377,RAID,LS,RA000628,1966-03-19,Lakeview village,LS
Eva,Hopkins,LEGL,GEOG,Noble Walk,594,19647,Averill Park,Iowa,CU,1000001385,RAID,CU,RA000628,1981-10-29,Averill Park,CU
Hipolito,Gutierrez,LEGL,GEOG,Qwerty Way,765,81374,Kingsgate,Connecticut,PR,1000001393,RAID,PR,RA000628,1984-04-01,Kingsgate,PR
Rhett,Coleman,LEGL,GEOG,Shady Track,660,34216,Beaman,Arizona,GG,1000001407,RAID,GG,RA000628,1975-02-04,Beaman,GG
Giovanni,Wammes,LEGL,GEOG,Course Mews,720,66889,MacArthur,Virginia,IR,1000001415,RAID,IR,RA000628,1956-09-26,MacArthur,IR
Bee,Lawrence,LEGL,GEOG,Brant Street,798,44592,Bradley village,Missouri,UA,1000001423,RAID,UA,RA000628,1992-02-19,Bradley village,UA
Stefanie,Wilkins,LEGL,GEOG,Rest Run,365,69259,Sherwood,Vermont,CI,1000001431,RAID,CI,RA000628,1992-06-27,Sherwood,CI
Ezequiel,Brewer,LEGL,GEOG,Wagon Manor,189,8953,La Vale,Washington,HK,1000001458,RAID,HK,RA000628,1987-07-25,La Vale,HK
Krista,Shaffer,LEGL,GEOG,Red Quail,258,14010,Garrison village,New Mexico,GF,1000001466,RAID,GF,RA000628,1957-05-18,Garrison village,GF
Rafaela,van der Helm,LEGL,GEOG,King Street,532,21855,St. Ignatius,New Mexico,ML,1000001474,RAID,ML,RA000628,1983-11-16,St. Ignatius,ML
Merideth,Martin,LEGL,GEOG,Sunny Track,506,86150,Alta,South Dakota,NP,1000001482,RAID,NP,RA000628,1942-07-08,Alta,NP
Sung,Blanchard,LEGL,GEOG,Bright Glade,425,13811,Meridian Station,Hawaii,CA,1000001490,RAID,CA,RA000628,1964-10-09,Meridian Station,CA
Darius,Miedema,LEGL,GEOG,Floor Street,453,24656,Nurillo,California,BM,1000001504,RAID,BM,RA000628,1993-11-10,Nurillo,BM
Wyatt,Roos,LEGL,GEOG,Broad Lagoon,198,27329,Pierpont,Alaska,TM,1000001512,RAID,TM,RA000628,1948-08-25,Pierpont,TM
Vernetta,van Winzum,LEGL,GEOG,E Cliff,903,45155,Chapmanville,Arkansas,GT,1000001520,RAID,GT,RA000628,1959-11-21,Chapmanville,GT
Hanna,Christensen,LEGL,GEOG,Amber Annex,653,61606,Houtzdale borough,West Virginia,DO,1000001539,RAID,DO,RA000628,1995-11-13,Houtzdale borough,DO
Denny,de With,LEGL,GEOG,Brook Way,125,45707,Little Creek,Florida,SE,1000001547,RAID,SE,RA000628,1946-05-29,Little Creek,SE
Herminia,Pietersen,LEGL,GEOG,Rise Underpass,724,59038,Murray Hill,Minnesota,US,1000001555,RAID,US,RA000628,1969-04-17,Murray Hill,US
Janet,van Soestdijck,LEGL,GEOG,Gate Drive,75,43077,Coulter,Oregon,GG,1000001563,RAID,GG,RA000628,1976-05-23,Coulter,GG
Dominic,van Gravendijk,LEGL,GEOG,Broad Gardens,163,28012,El Camino Angosto,Nevada,AI,1000001571,RAID,AI,RA000628,1974-06-05,El Camino Angosto,AI
Dulce,Knight,LEGL,GEOG,Ninth Terrace,356,35253,Paoli,Vermont,IQ,1000001598,RAID,IQ,RA000628,1947-09-22,Paoli,IQ
